Question ID,Question,Option A,Option B,Option C (Correct),Option D,Correct Answer,Topic
Q1,Which of the following best describes the task of Supervised Learning?,The goal is to find groups of similar data points without any prior labels.,The agent learns to act in an environment to maximize its cumulative future reward.,"The model learns a mapping from an input x to an output y using a dataset of labeled input-output pairs (xi​,yi​).",The system learns an internal representation of the input data for dimensionality reduction.,C,Introduction & Basics
Q2,"In a typical data matrix D, how are the observations (data points) and features usually arranged?","Features are rows, Observations are columns.","Observations are rows, Features are columns.","Observations are rows, Features are columns.",The arrangement depends on the kernel function used.,B,Introduction & Basics
Q3,What is the primary purpose of the convolution operation as a feature extractor in image processing?,To linearly separate classes in the input space.,To transform the input data into a high-dimensional feature space.,"To compute a linear combination of a pixel’s neighbors, often for feature extraction or smoothing.",To estimate the probability density function of the image pixels.,C,Introduction & Basics
Q4,"Which machine learning paradigm is characterized by an agent, a reward signal, and a sequence of actions and states?",Unsupervised Learning,Supervised Learning,Reinforcement Learning,Transductive Learning,D,Introduction & Basics
Q5,The Quadratic Loss (Squared Error) function is the standard choice for optimizing the parameters in which model?,Logistic Regression,Linear Regression (Least Squares Estimation),Linear Regression (Least Squares Estimation),Support Vector Machines (SVM),B,Regression & Loss
Q6,What is the key principle that guides the training of a Support Vector Machine (SVM) classifier?,Minimizing the total number of misclassified points.,Maximizing the margin between the decision boundary and the closest data points (support vectors).,Maximizing the margin between the decision boundary and the closest data points (support vectors).,Finding the minimum of the maximum likelihood function.,B,Regression & Loss
Q7,"The Hinge Loss function, which penalizes predictions that are not confidently correct, is predominantly used for training which classifier?",Logistic Regression,Linear Regression,Support Vector Machines (SVM),Decision Trees,D,Regression & Loss
Q8,"In a binary classification problem, which term in the Confusion Matrix represents the number of positive instances that were incorrectly predicted as negative?",False Positives (FP),True Negatives (TN),False Negatives (FN),True Positives (TP),C,Classification & Metrics
Q9,Which single metric is calculated as the harmonic mean of Precision and Recall?,Accuracy,F-score (F1​ or Fβ​),F-score (F1​ or Fβ​),Brier Score,B,Classification & Metrics
Q10,The Receiver Operating Characteristic (ROC) curve visually compares the trade-off between which two classification metrics?,Precision and Recall,F-score and Accuracy,True Positive Rate (Sensitivity) and False Positive Rate (1 - Specificity),Bias and Variance,C,Classification & Metrics
